Company Name,Symbol 
Activision Blizz,ATVI 
Adobe,ADBE 
Air Products and,APD 
Alaska Air Group,ALK 
Alimentation Cou,ATD 
Alphabet,GOOG 
Alphabet,GOOG. 
AmerisourceBerge,ABC 
ANSYS,ANSS 
Applied Material,AMAT 
ASML Holding N.V,ASML 
Atlassian Corpor,TEAM 
Autodesk,ADSK 
AutoNation,AN 
Ball Corporation,BLL 
BlackRock,BLK 
Broadcom,AVGO 
Cadence Design S,CDNS 
Carpenter Techno,CRS 
Cleveland-Cliffs,CLF 
Commvault System,CVLT 
Crocs,CROX 
Delta Air Lines,DAL 
Devon Energy Cor,DVN 
DuPont de Nemour,DD 
FedEx Corporatio,FDX 
Fidelity Nationa,FIS 
Five Below,FIVE 
Freeport-McMoRan,FCX 
General Dynamics,GD 
Genpact Limited,G 
Group 1 Automoti,GPI 
HSBC Holdings pl,HSBC 
Jacobs Engineeri,J 
Knight-Swift Tra,KNX 
Laboratory Corpo,LH 
Lennar Corporati,LEN 
Lockheed Martin,LMT 
Lumentum Holding,LITE 
Manhattan Associ,MANH 
Merck & Co.,MRK 
Meritage Homes C,MTH 
Microsoft Corpor,MSFT 
MKS Instruments,MKSI 
MP Materials Cor,MP 
New Relic,NEWR 
News Corporation,NWSA 
NICE Ltd.,NICE 
Northrop Grumman,NOC 
Olin Corporation,OLN 
Orange S.A.,ORAN 
Ovintiv,OVV 
Papa John's Inte,PZZA 
Pegasystems,PEGA 
Pfizer,PFE 
Pitney BowesPBI 
PTC,PTC 
Quanta Services,PWR 
Raytheon Technol,RTX 
Robert Half Inte,RHI 
Roblox Corporati,RBLX 
salesforce.com,CRM 
Sea Limited,SE 
ServiceNow,NOW 
Southwest Airlin,LUV 
Spirit AeroSyste,SPR 
Stanley Black &,SWK 
State Street Cor,STT 
Summit Materials,SUM 
Synopsys,SNPS 
T-Mobile US,TMUS 
Targa Resources,TRGP 
Teck Resources L,TECK 
The Allstate Cor,ALL 
The Boeing Compa,BA 
The Chemours Com,CC 
The Goldman Sach,GS 
The TJX Companie,TJX 
Twilio,TWLO 
Uber Technologie,UBER 
United Parcel Se,UPS 
UnitedHealth Gro,UNH 
V.F. Corporation,VFC 